id,neuron_type,neurotransmitter,role,region,x,y,z
135691,Tm20,ACH,inter,brain,613552.0,100480.0,227360.0
136629,Mi15,ACH,inter,brain,611088.0,109680.0,261408.0
137096,Dm2,ACH,inter,brain,166640.0,229008.0,178208.0
138720,Dm9,GLUT,inter,brain,645056.0,105504.0,263888.0
139242,Tm20,ACH,inter,brain,605744.0,95768.0,229440.0
140043,Tm5c,GLUT,inter,brain,617872.0,108160.0,234032.0
141329,Mi15,ACH,inter,brain,640984.0,105312.0,226288.0
142306,Dm2,ACH,inter,brain,612464.0,110104.0,240632.0
142676,Mi15,ACH,inter,brain,650704.0,101744.0,237664.0
143437,Mi15,ACH,inter,brain,605280.0,295696.0,169056.0
143872,Mi15,ACH,inter,brain,632560.0,102816.0,228384.0
145353,Dm8b,GLUT,inter,brain,159528.0,212336.0,169968.0
145695,C2,GABA,inter,brain,636656.0,156336.0,318000.0
147126,Dm2,ACH,inter,brain,614592.0,108992.0,231984.0
147205,R7_unclear,HIST,sensory,brain,131840.0,241152.0,199752.0
148683,Dm2,ACH,inter,brain,610992.0,108272.0,225936.0
149627,C2,GABA,inter,brain,614192.0,131760.0,298208.0
149919,Tm3,ACH,inter,brain,613680.0,97344.0,238080.0
150916,Dm2,ACH,inter,brain,601432.0,104792.0,223408.0
151946,Tm5c,GLUT,inter,brain,631488.0,103072.0,238304.0
151957,Dm2,ACH,inter,brain,620808.0,111024.0,237032.0
152853,Dm2,ACH,inter,brain,642336.0,117904.0,230576.0
153071,Tm6,ACH,inter,brain,583472.0,291232.0,171424.0
153617,Mi9,GLUT,inter,brain,655944.0,128960.0,295424.0
160373,Tm20,ACH,inter,brain,619344.0,103888.0,236992.0
162626,C3,GABA,inter,brain,611688.0,144032.0,302072.0
164073,Tm20,ACH,inter,brain,598480.0,98192.0,209192.0
165590,Cm4,GLUT,inter,brain,642056.0,121000.0,239952.0
166160,Dm-DRA2,GLUT,inter,brain,602224.0,103488.0,187504.0
166237,Tm37,GLUT,inter,brain,608560.0,94416.0,229344.0
166430,Mi9,GLUT,inter,brain,618768.0,102560.0,232560.0
167048,Dm-DRA2,GLUT,inter,brain,668240.0,122624.0,282448.0
167460,C2,GABA,inter,brain,640952.0,141488.0,309872.0
171969,C2,GABA,inter,brain,606032.0,133088.0,301008.0
189354,Tm5b,ACH,inter,brain,604584.0,128312.0,212680.0
189486,Mi15,ACH,inter,brain,613888.0,98288.0,233104.0
190320,Mi15,ACH,inter,brain,162080.0,231800.0,169464.0
190403,Mi9,GLUT,inter,brain,662800.0,132352.0,296448.0
192562,Dm9,GLUT,inter,brain,595696.0,111680.0,211744.0
193622,Mi15,ACH,inter,brain,609792.0,99240.0,240064.0
194223,Tm20,ACH,inter,brain,619808.0,105360.0,240368.0
194525,Mi15,ACH,inter,brain,657400.0,141352.0,302800.0
194866,Dm2,ACH,inter,brain,617248.0,110336.0,230000.0
198061,Dm2,ACH,inter,brain,685232.0,130592.0,270824.0
200486,Tm5c,GLUT,inter,brain,594800.0,109736.0,223008.0
203402,Mi15,ACH,inter,brain,603176.0,113192.0,245560.0
205509,Mi15,ACH,inter,brain,661848.0,138512.0,302888.0
206504,Cm4,GLUT,inter,brain,603024.0,102944.0,217664.0
209958,Mi15,ACH,inter,brain,628032.0,105936.0,229728.0
215846,Tm20,ACH,inter,brain,649280.0,109328.0,273536.0
