id,neuron_type,neurotransmitter,role,region,x,y,z
720575940639169597,mechanosensory,ACH,sensory,GNG,445800.0,287720.0,89920.0
720575940639553920,unknown,GABA,motor-related,GNG,597260.0,344452.0,61880.0
720575940639680957,ALPN,ACH,inter,AL.MB_CA,466172.0,242356.0,51440.0
720575940639789731,unknown,ACH,motor-related,IPS,539260.0,201020.0,192640.0
720575940640398477,ALPN,ACH,inter,AL.MB_CA,408333.0,226347.0,62560.0
720575940640469848,unknown,ACH,inter,GNG.FLA,541120.0,370720.0,177640.0
720575940640486488,unknown,GABA,motor-related,IPS.GNG,599748.0,349912.0,74080.0
720575940640589171,unknown,GABA,motor-related,GNG,435804.0,335828.0,80160.0
720575940640597237,unknown,GABA,inter,SAD.AVLP,418728.0,212828.0,76480.0
720575940640616253,unknown,ACH,inter,AVLP,604296.0,269868.0,113160.0
720575940640803200,ALLN,unknown,inter,AL,629180.0,250288.0,27240.0
720575940640935387,unknown,ACH,inter,SMP,679872.0,166300.0,108920.0
720575940640945115,unknown,ACH,inter,AVLP,682216.0,170056.0,191600.0
720575940640978048,unknown,ACH,motor-related,GNG,430576.0,321904.0,115920.0
720575940641263312,unknown,ACH,inter,IPS,577132.0,221472.0,184920.0
720575940641480949,unknown,ACH,motor-related,GNG,637960.0,317696.0,188480.0
720575940641585627,unknown,GLUT,inter,IPS.GNG,485188.0,346780.0,189720.0
720575940641629344,unknown,ACH,inter,AVLP,702540.0,229840.0,59440.0
720575940642449909,unknown,unknown,motor-related,GNG,406808.0,303348.0,166320.0
720575940643903904,mechanosensory,ACH,sensory,AMMC,628212.0,292136.0,43520.0
720575940644467360,unknown,ACH,motor-related,GNG,419232.0,302732.0,185560.0
720575940644607854,Kenyon_Cell,ACH,inter,MB_CA.CRE,639012.0,168432.0,143760.0
720575940644623396,unknown,ACH,inter,LH.SLP,711420.0,205664.0,92280.0
720575940644726432,brain_motor_neuron,unknown,motor-related,GNG,625472.0,329152.0,96920.0
720575940644758308,unknown,GABA,motor-related,GNG,493184.0,354336.0,191360.0
